"Part","Value","Attributes","Package","Description","Part Num","Mfg Name","VID","Vendor Part Num","Description","XREF"
"R45","100K","","R0805","RESISTOR","ERJ-6ENF1003V","Panasonic - ECG","DK","P100KCCT-ND","RES 100K OHM 1/8W 1% 0805 SMD","REF48"
"R46","1M","","R0805","RESISTOR","ERJ-6ENF1004V","Panasonic - ECG","DK","P1.00MCCT-ND","RES 1.00M OHM 1/8W 1% 0805 SMD","REF46"
"R47","93.1K","","R0805","RESISTOR","ERJ-6ENF9312V","Panasonic - ECG","DK","P93.1KCCT-ND","RES 93.1K OHM 1/8W 1% 0805 SMD","REF63"
"R48","22K","","R0805","RESISTOR","ERJ-6ENF2212V","Panasonic - ECG","DK","P22.1KCCT-ND","RES 22.1K OHM 1/8W 1% 0805 SMD","REF51"
"R49","100K","","R0805","RESISTOR","ERJ-6ENF1003V","Panasonic - ECG","DK","P100KCCT-ND","RES 100K OHM 1/8W 1% 0805 SMD","REF48"
"R50","10K","","R0805","RESISTOR","ERJ-6ENF1002V","Panasonic - ECG","DK","P10.0KCCT-ND","RES 10.0K OHM 1/8W 1% 0805 SMD","REF47"
"R51","22K","","R0805","RESISTOR","ERJ-6ENF2212V","Panasonic - ECG","DK","P22.1KCCT-ND","RES 22.1K OHM 1/8W 1% 0805 SMD","REF51"
"R52","200K","","EVME-SIDE","POTENTIOMETER","EVM-EGGA00B25","Panasonic - ECG","DK","EGG25BK-ND","POT 200K OHM 6MM CERAM SIDE ADJ","REF43"
"R53","33.2K","","R0805","RESISTOR","ERJ-6ENF3322V","Panasonic - ECG","DK","P33.2KCCT-ND","RES 33.2K OHM 1/8W 1% 0805 SMD","REF53"
"R54","10K","","R0805","RESISTOR","ERJ-6ENF1002V","Panasonic - ECG","DK","P10.0KCCT-ND","RES 10.0K OHM 1/8W 1% 0805 SMD","REF47"
"R55","1M","","R0805","RESISTOR","ERJ-6ENF1004V","Panasonic - ECG","DK","P1.00MCCT-ND","RES 1.00M OHM 1/8W 1% 0805 SMD","REF46"
"R56","10K","","R0805","RESISTOR","ERJ-6ENF1002V","Panasonic - ECG","DK","P10.0KCCT-ND","RES 10.0K OHM 1/8W 1% 0805 SMD","REF47"
"R57","10K","","R0805","RESISTOR","ERJ-6ENF1002V","Panasonic - ECG","DK","P10.0KCCT-ND","RES 10.0K OHM 1/8W 1% 0805 SMD","REF47"
"R58","10K","","R0805","RESISTOR","ERJ-6ENF1002V","Panasonic - ECG","DK","P10.0KCCT-ND","RES 10.0K OHM 1/8W 1% 0805 SMD","REF47"
"R59","22K","","R0805","RESISTOR","ERJ-6ENF2212V","Panasonic - ECG","DK","P22.1KCCT-ND","RES 22.1K OHM 1/8W 1% 0805 SMD","REF51"
"R60","33.2K","","R0805","RESISTOR","ERJ-6ENF3322V","Panasonic - ECG","DK","P33.2KCCT-ND","RES 33.2K OHM 1/8W 1% 0805 SMD","REF53"
"R61","100K","","R0805","RESISTOR","ERJ-6ENF1003V","Panasonic - ECG","DK","P100KCCT-ND","RES 100K OHM 1/8W 1% 0805 SMD","REF48"
"R62","1M","","R0805","RESISTOR","ERJ-6ENF1004V","Panasonic - ECG","DK","P1.00MCCT-ND","RES 1.00M OHM 1/8W 1% 0805 SMD","REF46"
"R63","10K","","EVME-SIDE","POTENTIOMETER","EVM-EGGA00B14","Panasonic - ECG","DK","EGG14BK-ND","POT 10K OHM 6MM CERAMIC SIDE ADJ","REF42"
"R64","22K","","R0805","RESISTOR","ERJ-6ENF2212V","Panasonic - ECG","DK","P22.1KCCT-ND","RES 22.1K OHM 1/8W 1% 0805 SMD","REF51"
"R65","10K","","R0805","RESISTOR","ERJ-6ENF1002V","Panasonic - ECG","DK","P10.0KCCT-ND","RES 10.0K OHM 1/8W 1% 0805 SMD","REF47"
"R66","10K","","EVM-L4G","POTENTIOMETER","EVM-L4GA00B14","Panasonic - ECG","DK","L4G14BK-ND","POT 10K OHM 4MM CERAMIC TOP ADJ","REF44"
"R67","10K","","R0805","RESISTOR","ERJ-6ENF1002V","Panasonic - ECG","DK","P10.0KCCT-ND","RES 10.0K OHM 1/8W 1% 0805 SMD","REF47"
"R68","100K","","R0805","RESISTOR","ERJ-6ENF1003V","Panasonic - ECG","DK","P100KCCT-ND","RES 100K OHM 1/8W 1% 0805 SMD","REF48"
"R69","10K","","R0805","RESISTOR","ERJ-6ENF1002V","Panasonic - ECG","DK","P10.0KCCT-ND","RES 10.0K OHM 1/8W 1% 0805 SMD","REF47"
"R70","10K","","R0805","RESISTOR","ERJ-6ENF1002V","Panasonic - ECG","DK","P10.0KCCT-ND","RES 10.0K OHM 1/8W 1% 0805 SMD","REF47"
"R71","10K","","EVME-SIDE","POTENTIOMETER","EVM-EGGA00B14","Panasonic - ECG","DK","EGG14BK-ND","POT 10K OHM 6MM CERAMIC SIDE ADJ","REF42"
"R72","22K","","R0805","RESISTOR","ERJ-6ENF2212V","Panasonic - ECG","DK","P22.1KCCT-ND","RES 22.1K OHM 1/8W 1% 0805 SMD","REF51"
"R73","100K","","R0805","RESISTOR","ERJ-6ENF1003V","Panasonic - ECG","DK","P100KCCT-ND","RES 100K OHM 1/8W 1% 0805 SMD","REF48"
"R74","100K","","R0805","RESISTOR","ERJ-6ENF1003V","Panasonic - ECG","DK","P100KCCT-ND","RES 100K OHM 1/8W 1% 0805 SMD","REF48"
"R75","10K","","EVME-SIDE","POTENTIOMETER","EVM-EGGA00B14","Panasonic - ECG","DK","EGG14BK-ND","POT 10K OHM 6MM CERAMIC SIDE ADJ","REF42"
"R76","22K","","R0805","RESISTOR","ERJ-6ENF2212V","Panasonic - ECG","DK","P22.1KCCT-ND","RES 22.1K OHM 1/8W 1% 0805 SMD","REF51"
"R77","100K","","R0805","RESISTOR","ERJ-6ENF1003V","Panasonic - ECG","DK","P100KCCT-ND","RES 100K OHM 1/8W 1% 0805 SMD","REF48"
"R78","100K","","R0805","RESISTOR","ERJ-6ENF1003V","Panasonic - ECG","DK","P100KCCT-ND","RES 100K OHM 1/8W 1% 0805 SMD","REF48"
"R79","10K","","R0805","RESISTOR","ERJ-6ENF1002V","Panasonic - ECG","DK","P10.0KCCT-ND","RES 10.0K OHM 1/8W 1% 0805 SMD","REF47"
"R82","1.00K","","R0805","RESISTOR","ERJ-6ENF1001V","Panasonic - ECG","DK","P1.00KCCT-ND","RES 1.00K OHM 1/8W 1% 0805 SMD","REF45"
"R83","1.00K","","R0805","RESISTOR","ERJ-6ENF1001V","Panasonic - ECG","DK","P1.00KCCT-ND","RES 1.00K OHM 1/8W 1% 0805 SMD","REF45"
"U5","LM324D","","SO14","OP AMP","LM324D","Texas Instruments","DK","296-1390-5-ND","IC OPAMP GP 1.2MHZ QUAD 14SOIC","REF84"
"U6","CM8870CS","","SO18W","CMOS Integrated DTMF Receiver","MT8870DS","Zarlink","FE","MT8870DS","DTMF Decoder IC","REF93"
"U7","MAX323CSA","","SO08","ANALOG SWITCH","MAX323CSA+","Maxim Integrated Products","DK","MAX323CSA+-ND","IC SWITCH DUAL SPST 8SOIC","REF29"
"U8","MX828DS","","SSOP24","CTCSS/DCS/SELCALL PROCESSOR","MX828DW","CML Electronics","MX","MX828DW","PL ENCODER/DECODER (DISCONTINUED!!!)","REF7"
"U9","ISD4002S","","SO28W","VOICE RECORD/PLAYBACK IC","ISD4002-240SY","Nuvoton Technology Corporation","DK","ISD4002-240SY","IC VOICE REC/PLAY 240S 28-SOIC","REF35"
"U10","TL084D","","SO14","OP AMP","TLC084CD","Texas Instruments","DK","296-2423-5-ND","IC OPAMP GP 10MHZ QUAD 14SOIC","REF86"
"Y2","3.579 MHZ","","TC310H","CRYSTAL","ECS-35-18-10X","ECS Inc","DK","XC1371-ND","CRYSTAL 3.579545 MHZ 18PF CYL","REF17"
"Y3","4.032MHZ","","SM49","CRYSTAL","ECS-40.3-20-5PX-TR","ECS Inc","DK","XC1258CT-ND","CRYSTAL 4.032MHZ 20PF SMD","REF16"
