Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,XREF
1,"D8",18V,SMB,1SMB5931BT3G,ON Semiconductor,DK,1SMB5931BT3GOSTR-ND,DIODE ZENER 18V 3W SMB,REF36
9,"R23, R31, R44, R48, R51, R59, R64, R72, R76",22K,R0805,ERJ-6ENF2212V,Panasonic - ECG,DK,P22.1KCCT-ND,RES 22.1K OHM 1/8W 1% 0805 SMD,REF51
2,"C6, C7",22pF,C0805,C0805C220J5GACTU,Kemet,DK,399-1113-1-ND,CAP CERAMIC 22PF 50V NP0 0805,REF71
3,"C68, C70, C74",22uF,C3528/T,T491B226M016AT,Kemet,DK,399-3717-1-ND,CAPACITOR TANT 22UF 16V 20% SMD,REF26
1,"Y4",32.678 kHz,TC26H,ECS-.327-12.5-13X,ECS Inc,DK,X1124-ND,CRYSTAL 32.768 KHZ 12.5PF CYL,REF15
2,"R53, R60",33.2K,R0805,ERJ-6ENF3322V,Panasonic - ECG,DK,P33.2KCCT-ND,RES 33.2K OHM 1/8W 1% 0805 SMD,REF53
2,"C53, C54",33pF,C0805,C0805C330J5GACTU,Kemet,DK,399-1115-1-ND,CAP CERAMIC 33PF 50V NP0 0805,REF75
5,"R1, R3, R4, R12, R14",47.5R,R0805,ERJ-6ENF47R5V,Panasonic - ECG,DK,P47.5CCT-ND ,RES 47.5 OHM 1/8W 1% 0805 SMD,REF57
1,"R6",48.7R,R2010,ERJ-12SF48R7U,Panasonic - ECG,DK,P48.7ACCT-ND,RES 48.7 OHM 3/4W 1% 2010 SMD,REF58
1,"R21",62K,R0805,ERJ-6ENF6192V,Panasonic - ECG,DK,P61.9KCCT-ND,RES 61.9K OHM 1/8W 1% 0805 SMD,REF60
1,"R24",91.0K,R0805,ERJ-6ENF9092V,Panasonic - ECG,DK,P90.9KCCT-ND,RES 90.9K OHM 1/8W 1% 0805 SMD,REF62
1,"R47",93.1K,R0805,ERJ-6ENF9312V,Panasonic - ECG,DK,P93.1KCCT-ND,RES 93.1K OHM 1/8W 1% 0805 SMD,REF63
13,"R13, R20, R34, R37, R41, R45, R49, R61, R68, R73, R74, R77, R78",100K,R0805,ERJ-6ENF1003V,Panasonic - ECG,DK,P100KCCT-ND,RES 100K OHM 1/8W 1% 0805 SMD,REF48
3,"C29, C46, C49",100pF,C0805,C0805C101J5GACTU,Kemet,DK,399-1122-1-ND,CAP CERAMIC 100PF 50V NP0 0805,REF64
1,"C28",100uF,CSV-E/F,EEE-1CA101P,Panasonic - ECG,DK,PCE3879CT-ND,CAP ELECT 100UF 16V VS SMD,REF80
1,"R35",150K,R0805,ERJ-6ENF1503V,Panasonic - ECG,DK,P150KCCT-ND,RES 150K OHM 1/8W 1% 0805 SMD,REF50
1,"X2",182-009-112-531,NC182M9,182-009-113R531,Norcomp Inc.,DK,182-09ME-ND,"CONN DB9 MALE .318"" R/A NICKEL",REF34
1,"R52",200K,EVME-SIDE,EVM-EGGA00B25,Panasonic - ECG,DK,EGG25BK-ND,POT 200K OHM 6MM CERAM SIDE ADJ,REF43
1,"R32",301K,R0805,ERJ-6ENF3013V,Panasonic - ECG,DK,P301KCCT-ND,RES 301K OHM 1/8W 1% 0805 SMD,REF52
1,"R29",332K,R0805,ERJ-6ENF3323V,Panasonic - ECG,DK,P332KCCT-ND,RES 332K OHM 1/8W 1% 0805 SMD,REF54
1,"R7",464R,R1210,ERJ-14NF4640U,Panasonic - ECG,DK,P464AACT-ND,RES 464 OHM 1/2W 1% 1210 SMD,REF56
2,"C36, C37",470pF,C0805,C0805C471J5GACTU,Kemet,DK,399-1133-1-ND,CAP CERAMIC 470PF 50V NP0 0805,REF76
2,"C26, C27",470uF,CSV-G,EEE-1EA471P,Panasonic - ECG,DK,PCE3909CT-ND,CAP ELECT 470UF 25V VS SMD,REF81
1,"C48",560pF,C0805,C0805C561J5GACTU,Kemet,DK,399-1134-1-ND,CAP CERAMIC 560PF 50V NP0 0805,REF78
4,"C32, C33, C34, C42",1500pF,C0805,C0805C152K5RACTU,Kemet,DK,399-1150-1-ND,CAP 1500PF 50V CERAMIC X7R 0805,REF70
1,"C60",4700pF,C0805,C0805C472K5RACTU,Kemet,DK,399-1155-1-ND,CAP 4700PF 50V CERAMIC X7R 0805,REF77
1,"X3",70553-0007,70553-08,70553-0007,Molex Connector Corporation,DK,WM4906-ND,CONN HEADER 8POS .100 R/A GOLD,REF30
1,"X5",640454-2,MTA-100-2V,640454-2,Tyco Electronics ,DK,A19423-ND,CONN HEADER VERT 2POS .100 TIN,REF87
1,"X4",640454-8,MTA08-100,640454-8,Tyco Electronics ,DK,A19435-ND,CONN HEADER VERT 8POS .100 TIN,REF88
