"Qty","Value","Part Num","Package","Parts","Mfg Name","VID","Vendor Part Num","Description","XREF"
"2","33.2K","ERJ-6ENF3322V","R0805","R53, R60","Panasonic - ECG","DK","P33.2KCCT-ND","RES 33.2K OHM 1/8W 1% 0805 SMD","REF53"
"2","33pF","C0805C330J5GACTU","C0805","C53, C54","Kemet","DK","399-1115-1-ND","CAP CERAMIC 33PF 50V NP0 0805","REF75"
"5","47.5R","ERJ-6ENF47R5V","R0805","R1, R3, R4, R12, R14","Panasonic - ECG","DK","P47.5CCT-ND ","RES 47.5 OHM 1/8W 1% 0805 SMD","REF57"
"1","48.7R","ERJ-12SF48R7U","R2010","R6","Panasonic - ECG","DK","P48.7ACCT-ND","RES 48.7 OHM 3/4W 1% 2010 SMD","REF58"
"1","62K","ERJ-6ENF6192V","R0805","R21","Panasonic - ECG","DK","P61.9KCCT-ND","RES 61.9K OHM 1/8W 1% 0805 SMD","REF60"
"1","91.0K","ERJ-6ENF9092V","R0805","R24","Panasonic - ECG","DK","P90.9KCCT-ND","RES 90.9K OHM 1/8W 1% 0805 SMD","REF62"
"1","93.1K","ERJ-6ENF9312V","R0805","R47","Panasonic - ECG","DK","P93.1KCCT-ND","RES 93.1K OHM 1/8W 1% 0805 SMD","REF63"
"13","100K","ERJ-6ENF1003V","R0805","R13, R20, R34, R37, R41, R45, R49, R61, R68, R73, R74, R77, R78","Panasonic - ECG","DK","P100KCCT-ND","RES 100K OHM 1/8W 1% 0805 SMD","REF48"
"3","100pF","C0805C101J5GACTU","C0805","C29, C46, C49","Kemet","DK","399-1122-1-ND","CAP CERAMIC 100PF 50V NP0 0805","REF64"
"1","100uF","EEE-1CA101P","CSV-E/F","C28","Panasonic - ECG","DK","PCE3879CT-ND","CAP ELECT 100UF 16V VS SMD","REF80"
"1","150K","ERJ-6ENF1503V","R0805","R35","Panasonic - ECG","DK","P150KCCT-ND","RES 150K OHM 1/8W 1% 0805 SMD","REF50"
"1","182-009-112-531","182-009-113R531","NC182M9","X2","Norcomp Inc.","DK","182-09ME-ND",""CONN DB9 MALE .318"" R/A NICKEL"","REF34"
"1","200K","EVM-EGGA00B25","EVME-SIDE","R52","Panasonic - ECG","DK","EGG25BK-ND","POT 200K OHM 6MM CERAM SIDE ADJ","REF43"
"1","301K","ERJ-6ENF3013V","R0805","R32","Panasonic - ECG","DK","P301KCCT-ND","RES 301K OHM 1/8W 1% 0805 SMD","REF52"
"1","332K","ERJ-6ENF3323V","R0805","R29","Panasonic - ECG","DK","P332KCCT-ND","RES 332K OHM 1/8W 1% 0805 SMD","REF54"
"1","464R","ERJ-14NF4640U","R1210","R7","Panasonic - ECG","DK","P464AACT-ND","RES 464 OHM 1/2W 1% 1210 SMD","REF56"
"2","470pF","C0805C471J5GACTU","C0805","C36, C37","Kemet","DK","399-1133-1-ND","CAP CERAMIC 470PF 50V NP0 0805","REF76"
"2","470uF","EEE-1EA471P","CSV-G","C26, C27","Panasonic - ECG","DK","PCE3909CT-ND","CAP ELECT 470UF 25V VS SMD","REF81"
"1","560pF","C0805C561J5GACTU","C0805","C48","Kemet","DK","399-1134-1-ND","CAP CERAMIC 560PF 50V NP0 0805","REF78"
